recommendation,segment,ichome_title,jan,price,url,reason,next_check
A,Switch2 Editionソフト,【NS2】牧場物語 Lets！風のグランドバザール Nintendo Switch 2 Edition,4535506303950,5200,https://www.1-chome.com/wineDetail/7422/7422,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
A,Switch2 Editionソフト,【NS2】あつまれ どうぶつの森 Nintendo Switch 2 Edition,4902370553901,5000,https://www.1-chome.com/wineDetail/8312/8312,Switch2系で既存監視と近いが、単価は低めなので本体セットより優先度を下げる。,発売日、ヤフオク落札数、通常Switch版との差額
B,高単価ゲーム商品,PlayStation5 デジタル・エディション “モンスターハンターワイルズ” 同梱版,4948872017176,79000,https://www.1-chome.com/wineDetail/6452/6452,高単価だが、既存監視との近さは要確認。,他業者取扱有無
B,高単価ゲーム商品,PlayStation4 500GB CUH-2200AB01,4948872414647,36500,https://www.1-chome.com/wineDetail/687/687,高単価だが、既存監視との近さは要確認。,他業者取扱有無
B,高単価ゲーム商品,PlayStation5 新型モデル CFI-1200A01,4948872415552,35000,https://www.1-chome.com/wineDetail/6746/6746,高単価だが、既存監視との近さは要確認。,他業者取扱有無
B,高単価ゲーム商品,Logicool G ステアリングコントローラー LPRC-15000D ブラック,4943765048145,32000,https://www.1-chome.com/wineDetail/5529/5529,高単価だが、既存監視との近さは要確認。,他業者取扱有無
B,高単価ゲーム商品,Nintendo Switch Sports セット,4902370551013,31500,https://www.1-chome.com/wineDetail/4570/4570,高単価だが、既存監視との近さは要確認。,他業者取扱有無
B,高単価ゲーム商品,PlayStation5 デジタル新型モデル CFI-1200B01,4948872415545,30000,https://www.1-chome.com/wineDetail/6747/6747,高単価だが、既存監視との近さは要確認。,他業者取扱有無
B,新作/限定コントローラー,PS5 ワイヤレスコントローラー “DEATH STRANDING 2: ON THE BEACH”リミテッドエディション,4948872850292,10000,https://www.1-chome.com/wineDetail/7115/7115,JANは安定するが、色・限定違いが多く増えすぎるため優先範囲を絞りたい。,直近取引予定があるものだけ追加
B,新作/限定コントローラー,PS5 ワイヤレスコントローラー“007 First Light“ リミテッドエディション CFI-ZCT2JZF,4948872417433,10000,https://www.1-chome.com/wineDetail/9274/9274,JANは安定するが、色・限定違いが多く増えすぎるため優先範囲を絞りたい。,直近取引予定があるものだけ追加
B,新作/限定コントローラー,Nintendo Switch 2 Proコントローラー バイオハザード レクイエム エディション BEEAFSSKD,4902370553802,9600,https://www.1-chome.com/wineDetail/8374/8374,JANは安定するが、色・限定違いが多く増えすぎるため優先範囲を絞りたい。,直近取引予定があるものだけ追加
B,新作/限定コントローラー,Nintendo Switch 2 Proコントローラー,4902370552843,9000,https://www.1-chome.com/wineDetail/7051/7051,JANは安定するが、色・限定違いが多く増えすぎるため優先範囲を絞りたい。,直近取引予定があるものだけ追加
B,新作ソフト,【NS2】ぽこ あ ポケモン,4521329460420,6700,https://www.1-chome.com/wineDetail/8344/8344,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】ゼルダ無双 封印戦記/Switch 2,4988615211102,6700,https://www.1-chome.com/wineDetail/7822/7822,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】ドンキーコング バナンザ,4902370553413,6700,https://www.1-chome.com/wineDetail/7069/7069,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】仁王3,4988615211331,6500,https://www.1-chome.com/wineDetail/8230/8230,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】マリオテニス フィーバー,4902370553932,6200,https://www.1-chome.com/wineDetail/8464/8464,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】ヨッシーとフカシギの図鑑,4902370554151,5900,https://www.1-chome.com/wineDetail/9150/9150,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】カービィのエアライダー,4902370553642,5800,https://www.1-chome.com/wineDetail/7823/7823,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】SILENT HILL f,4988602178968,5800,https://www.1-chome.com/wineDetail/7557/7557,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】黒神話：悟空,4580695760930,5800,https://www.1-chome.com/wineDetail/6418/6418,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】プラグマタ,4976219137799,5500,https://www.1-chome.com/wineDetail/8533/8533,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】ドラゴンクエストVII Reimagined -Switch,4988601012089,5200,https://www.1-chome.com/wineDetail/8232/8232,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】Ghost of Yotei,4948872017305,5200,https://www.1-chome.com/wineDetail/7585/7585,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】アストロボット,4948872017183,5000,https://www.1-chome.com/wineDetail/6047/6047,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】DEATH STRANDING 2: ON THE BEACH,4948872017213,4600,https://www.1-chome.com/wineDetail/7116/7116,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】Stellar Blade,4948872016858,4200,https://www.1-chome.com/wineDetail/5797/5797,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】REANIMAL,4571574970410,4000,https://www.1-chome.com/wineDetail/8401/8401,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】Alan Wake 2 Deluxe,4595057030064,4000,https://www.1-chome.com/wineDetail/6212/6212,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【NS2】龍が如く０ 誓いの場所 Director’s Cut,4974365870584,3600,https://www.1-chome.com/wineDetail/7097/7097,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】Split Fiction,4938833024749,3600,https://www.1-chome.com/wineDetail/6816/6816,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】Marvel’s Spider-Man 2,4948872016865,3000,https://www.1-chome.com/wineDetail/5272/5272,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
B,新作ソフト,【PS5】Minecraft,4595057030071,1900,https://www.1-chome.com/wineDetail/6536/6536,価格は低めだが新作は値動き確認価値あり。数が増えやすいので厳選向き。,発売日とヤフオク落札数
保留,周辺機器/低単価ソフト,Nintendo Switch Lite ハイラルエディション,4902370552232,29000,https://www.1-chome.com/wineDetail/5858/5858,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Nintendo Switch Lite コーラル あつまれ どうぶつの森セット,4902370551471,28000,https://www.1-chome.com/wineDetail/5400/5400,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Nintendo Switch Lite ターコイズ あつまれ どうぶつの森セット,4902370551457,28000,https://www.1-chome.com/wineDetail/5399/5399,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Steam Controller コントローラー,0814585022803,23500,https://www.1-chome.com/wineDetail/8821/8821,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Steam Controller コントローラー,0814585022803,23500,https://www.1-chome.com/wineDetail/8821/8821,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,JANなし,Xbox Elite ワイヤレス コントローラー シリーズ 2 – DOOM: The Dark Ages 限定エディション,,23000,https://www.1-chome.com/wineDetail/7000/7000,JANがないため、他業者照合や商品追加の前に実物確認が必要。,JANまたは型番の確認
保留,周辺機器/低単価ソフト,PULSE Elite ワイヤレスヘッドセット CFI-ZWH2J,4948872416207,14000,https://www.1-chome.com/wineDetail/5523/5523,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス ヘッドセット TLL-00022,4549576210636,11000,https://www.1-chome.com/wineDetail/6310/6310,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー - Forza Horizon 5 リミテッド エディション,4549576177342,10500,https://www.1-chome.com/wineDetail/1879/1879,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PULSE Elite ワイヤレスヘッドセット ミッドナイト ブラック CFI-ZWH2J01,4948872416610,10000,https://www.1-chome.com/wineDetail/6367/6367,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PULSE 3D(TM) ワイヤレスヘッドセット CFI-ZWH1J,4948872415125,9500,https://www.1-chome.com/wineDetail/1315/1315,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PULSE 3D(TM) ワイヤレスヘッドセット CFI-ZWH1J01,4948872415248,9500,https://www.1-chome.com/wineDetail/2091/2091,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PULSE 3D(TM) ワイヤレスヘッドセット CFI-ZWH1J06,4948872415804,9500,https://www.1-chome.com/wineDetail/4438/4438,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー – Starfield 限定エディション,4549576194172,9500,https://www.1-chome.com/wineDetail/5141/5141,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー – 20 周年 スペシャル エディション,4549576177328,9000,https://www.1-chome.com/wineDetail/2024/2024,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PS4 コントローラー ゴールド CUH-ZCT2J14,4948872414357,7000,https://www.1-chome.com/wineDetail/1156/1156,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PS4 コントローラー レッド・カモフラージュ CUH-ZCT2J30,4948872414906,7000,https://www.1-chome.com/wineDetail/3333/3333,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PS4 コントローラー ジェット・ブラック CUH-ZCT2J,4948872414203,6700,https://www.1-chome.com/wineDetail/1155/1155,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PS4 コントローラー ホワイト CUH-ZCT2J13,4948872414340,6700,https://www.1-chome.com/wineDetail/1154/1154,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PS4 コントローラー マグマ・レッド CUH-ZCT2J11,4948872414296,6700,https://www.1-chome.com/wineDetail/3332/3332,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,PS4 コントローラー ミッドナイト・ブルー CUH-ZCT2J22,4948872414562,6700,https://www.1-chome.com/wineDetail/1163/1163,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー アークティック カモ QAU-00140,4549576230382,6400,https://www.1-chome.com/wineDetail/5785/5785,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー グリーン QAU-00092,4549576187129,6400,https://www.1-chome.com/wineDetail/4836/4836,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ゴースト サイファー QAU-00159,4549576241708,6400,https://www.1-chome.com/wineDetail/6272/6272,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー スカイ サイファー QAU-00152,4549576241692,6400,https://www.1-chome.com/wineDetail/6012/6012,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ストームクラウド ベイパー QAU-00131,4549576210667,6400,https://www.1-chome.com/wineDetail/5333/5333,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ドリーム ベイパー QAU-00127,4549576210650,6400,https://www.1-chome.com/wineDetail/5609/5609,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ノクターナル ベイパー,4549576189871,6400,https://www.1-chome.com/wineDetail/5859/5859,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー パルス サイファー QAU-00166,4549576241715,6400,https://www.1-chome.com/wineDetail/6406/6406,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー パープル QAU-00070,4549576186061,6400,https://www.1-chome.com/wineDetail/5288/5288,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ピンク QAU-00084,4549576183381,6400,https://www.1-chome.com/wineDetail/4763/4763,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ファイヤー ベイパー,4549576241586,6400,https://www.1-chome.com/wineDetail/5860/5860,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ブルー QAU-00005/EP2-29941,4549576167862,6400,https://www.1-chome.com/wineDetail/1334/1334,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー ボルト QAU-00025,4549576174273,6400,https://www.1-chome.com/wineDetail/1645/1645,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox コントローラー レッド QAU-00015,4549576173672,6400,https://www.1-chome.com/wineDetail/1362/1362,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー Arctic Camo スペシャル エディション,4549576157443,6400,https://www.1-chome.com/wineDetail/1647/1647,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー – DOOM: The Dark Ages 限定エディション,4549576256559,6400,https://www.1-chome.com/wineDetail/7001/7001,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー 「サンキスド バイブス オーピーアイ」特別エディション,4549576208824,6400,https://www.1-chome.com/wineDetail/5138/5138,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー 「デイストライク カモ」スペシャルエディション,4549576174266,6400,https://www.1-chome.com/wineDetail/1646/1646,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー アイスブレイカー スペシャルエディション EP2-29573,4549576261904,6400,https://www.1-chome.com/wineDetail/8394/8394,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー アクア シフト,4549576174280,6400,https://www.1-chome.com/wineDetail/1878/1878,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー ゴールド シャドウ QAU-00123,4549576210643,6400,https://www.1-chome.com/wineDetail/5440/5440,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー ステラ シフト,4549576183398,6400,https://www.1-chome.com/wineDetail/4765/4765,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー ストームブレイカー,4549576261881,6400,https://www.1-chome.com/wineDetail/8392/8392,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー ハートブレイカー,4549576261898,6400,https://www.1-chome.com/wineDetail/8393/8393,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー リミックス」特別エディション,4549576207322,6400,https://www.1-chome.com/wineDetail/4995/4995,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラー ルナ シフト,4549576184463,6400,https://www.1-chome.com/wineDetail/4469/4469,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
保留,周辺機器/低単価ソフト,Xbox ワイヤレス コントローラーミネラルカモ,4549576186078,6400,https://www.1-chome.com/wineDetail/4435/4435,候補数が多いため、取引予定や明確な値動きがある場合に追加する。,取引予定の有無
