decision,rank,score,family,tier,capacity,color,priority,ichome_title,jan,price,url,reason,note
初回追加候補,S,113,iPhone 16 Pro Max,Pro Max,256GB,ナチュラルチタニウム,A,iPhone 16 Pro Max 256GB ナチュラルチタニウム,4549995536454,188000,https://www.1-chome.com/mobileDetail/1063/1063,JANあり、Pro Max、256GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,113,iPhone 16 Pro Max,Pro Max,256GB,ブラックチタニウム,A,iPhone 16 Pro Max 256GB ブラックチタニウム,4549995536423,188000,https://www.1-chome.com/mobileDetail/1063/1063,JANあり、Pro Max、256GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,113,iPhone 16 Pro Max,Pro Max,256GB,ホワイトチタニウム,A,iPhone 16 Pro Max 256GB ホワイトチタニウム,4549995536430,188000,https://www.1-chome.com/mobileDetail/1063/1063,JANあり、Pro Max、256GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,112,iPhone 16 Pro,Pro,512GB,デザートチタニウム,A,iPhone 16 Pro 512GB デザートチタニウム,4549995532968,202500,https://www.1-chome.com/mobileDetail/1068/1068,JANあり、Pro、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,112,iPhone 16 Pro,Pro,512GB,ナチュラルチタニウム,A,iPhone 16 Pro 512GB ナチュラルチタニウム,4549995533019,202500,https://www.1-chome.com/mobileDetail/1068/1068,JANあり、Pro、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,112,iPhone 16 Pro,Pro,512GB,ブラックチタニウム,A,iPhone 16 Pro 512GB ブラックチタニウム,4549995532869,202500,https://www.1-chome.com/mobileDetail/1068/1068,JANあり、Pro、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,112,iPhone 16 Pro,Pro,512GB,ホワイトチタニウム,A,iPhone 16 Pro 512GB ホワイトチタニウム,4549995532913,202500,https://www.1-chome.com/mobileDetail/1068/1068,JANあり、Pro、512GB、新しめ、高単価,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,100,iPhone 16 Pro,Pro,256GB,デザートチタニウム,A,iPhone 16 Pro 256GB デザートチタニウム,4549995532760,178500,https://www.1-chome.com/mobileDetail/1067/1067,JANあり、Pro、256GB、新しめ、単価あり,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,100,iPhone 16 Pro,Pro,256GB,ナチュラルチタニウム,A,iPhone 16 Pro 256GB ナチュラルチタニウム,4549995532814,178500,https://www.1-chome.com/mobileDetail/1067/1067,JANあり、Pro、256GB、新しめ、単価あり,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,100,iPhone 16 Pro,Pro,256GB,ブラックチタニウム,A,iPhone 16 Pro 256GB ブラックチタニウム,4549995532661,178500,https://www.1-chome.com/mobileDetail/1067/1067,JANあり、Pro、256GB、新しめ、単価あり,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
初回追加候補,S,100,iPhone 16 Pro,Pro,256GB,ホワイトチタニウム,A,iPhone 16 Pro 256GB ホワイトチタニウム,4549995532715,178500,https://www.1-chome.com/mobileDetail/1067/1067,JANあり、Pro、256GB、新しめ、単価あり,iPhone 16 Pro/Pro Maxの256GB以上。色別JANで追加しやすい。
